sentence1,sentence2,label
চার লাখ টাকার প্রকল্পের জন্য সমবায় ব্যাংকের মাধ্যমে ঋণ দরকার।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
എനിക്ക് ടെയിലറിംഗ് ബിസിനസ് തുടങ്ങാൻ ചെറിയ വായ്പ വേണം.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
ꯃꯅꯤ ꯂꯥꯛꯊꯣꯛ ꯔꯨꯄꯤ ꯄ꯭ꯔꯣꯖꯦꯛꯇꯀꯤꯗꯃꯛ ꯇꯔꯝ ꯂꯣꯟ ꯅꯥꯡꯒꯦ।,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
মোক টেইলাৰিং ব্যৱসায় আৰম্ভ কৰিবলৈ সৰু ঋণ লাগে।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
مجھے بیس لاکھ روپے کے منصوبے کے لیے ٹرم لون چاہیے۔,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
आं टेलरिं बिसनेस जागायनो थाखाय लोन नांगोन।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
वीह् लख रपे दे प्रोजेक्ट आस्तै टर्म लोन लोड़दा ऐ।,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
କୋଡ଼ିଏ ଲକ୍ଷ ଟଙ୍କାର ପ୍ରକଳ୍ପ ପାଇଁ ଟର୍ମ ଲୋନ୍ ଦରକାର।,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
எனக்கு தையல் தொழில் தொடங்க சிறிய கடன் வேண்டும்.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
I need microfinance through an NBFC-MFI for a small business.,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
मुझे सिलाई का व्यवसाय शुरू करने के लिए छोटा ऋण चाहिए।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
B.Tech पढ़बाक लेल शिक्षा ऋण चाही।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
ਚਾਰ ਲੱਖ ਰੁਪਏ ਦੇ ਪ੍ਰੋਜੈਕਟ ਲਈ ਸਹਿਕਾਰੀ ਬੈਂਕ ਰਾਹੀਂ ਕਰਜ਼ਾ ਚਾਹੀਦਾ ਹੈ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
I need microfinance through an NBFC-MFI for a small business.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
चार लाख टाकानि प्रोजेक्टनि थाखाय कोआपरेटिभ बैंक जों लोन नांगोन।,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
વીસ લાખ રૂપિયાના પ્રોજેક્ટ માટે ટર્મ લોન જોઈએ છે.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
I need a term loan for a project costing ₹20 lakh.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
সৰু ব্যৱসায়ৰ বাবে NBFC-MFI ৰ জৰিয়তে মাইক্ৰ’ফাইনেন্স লাগে।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
मुझे चार लाख रुपये की परियोजना के लिए सहकारी बैंक के माध्यम से ऋण चाहिए।,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
എനിക്ക് ടെയിലറിംഗ് ബിസിനസ് തുടങ്ങാൻ ചെറിയ വായ്പ വേണം.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
مون کي چار لک رپين جي منصوبي لاءِ ڪوآپريٽو بينڪ ذريعي قرض گهرجي.,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
मलाई टेलरिङ व्यवसाय सुरु गर्न सानो ऋण चाहिन्छ।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
ᱪᱷᱚᱴ ᱵᱤᱡᱱᱮᱥ ᱞᱟᱹᱜᱤᱫ NBFC-MFI ᱛᱮ ᱢᱟᱭᱠᱨᱚᱯᱷᱟᱭᱱᱟᱱᱥ ᱥᱟᱹᱦᱟᱭᱟᱹ।,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
ఇరవై లక్షల రూపాయల ప్రాజెక్ట్ కోసం టర్మ్ లోన్ కావాలి.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
ᱪᱟᱨ ᱞᱟᱠᱷ ᱴᱟᱠᱟ ᱯᱨᱚᱡᱮᱠᱴ ᱞᱟᱹᱜᱤᱫ ᱠᱚᱚᱯᱟᱨᱮᱴᱤᱵ ᱵᱮᱝᱠ ᱛᱮ ᱞᱳᱱ ᱥᱟᱹᱦᱟᱭᱟᱹ।,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
B.Tech പഠനത്തിന് വിദ്യാഭ്യാസ വായ്പ വേണം.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
مےٚ چھوٹ کاروبار خٲطرٕ NBFC-MFI ذٔریعہٕ مائیکروفنانس گژھان۔,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
मम सीवनव्यवसायस्य आरम्भाय लघुऋणम् आवश्यकम्।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
मम सीवनव्यवसायस्य आरम्भाय लघुऋणम् आवश्यकम्।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
ನಾಲ್ಕು ಲಕ್ಷ ರೂಪಾಯಿ ಯೋಜನೆಗೆ ಸಹಕಾರಿ ಬ್ಯಾಂಕ್ ಮೂಲಕ ಸಾಲ ಬೇಕು.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
चार लख रपे दे प्रोजेक्ट आस्तै सहकारी बैंक दे जरिए कर्जा लोड़दा ऐ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
हमरा टेलरिंग व्यवसाय शुरू करबाक लेल छोट ऋण चाही।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
B.Tech ਦੀ ਪੜ੍ਹਾਈ ਲਈ ਸਿੱਖਿਆ ਕਰਜ਼ਾ ਚਾਹੀਦਾ ਹੈ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",1
छोट्या व्यवसायासाठी NBFC-MFI मार्फत मायक्रोफायनान्स हवे आहे.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
B.Tech सोलोंनायनि थाखाय एजुकेसन लोन नांगोन।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",1
বিশ লাখ টকাৰ প্ৰকল্পৰ বাবে মোক টাৰ্ম লোন লাগে।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
ಇಪ್ಪತ್ತು ಲಕ್ಷ ರೂಪಾಯಿ ಯೋಜನೆಗೆ ಟರ್ಮ್ ಲೋನ್ ಬೇಕು.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
నాలుగు లక్షల రూపాయల ప్రాజెక్ట్ కోసం కోఆపరేటివ్ బ్యాంక్ ద్వారా రుణం కావాలి.,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
मुझे छोटे व्यवसाय के लिए NBFC-MFI के माध्यम से माइक्रोफाइनेंस चाहिए।,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
ചെറിയ ബിസിനസിന് NBFC-MFI വഴി മൈക്രോഫിനാൻസ് വേണം.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
I need a small loan to start a tailoring business.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
वीस लाख रुपयांच्या प्रकल्पासाठी टर्म लोन हवे आहे.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
B.Tech शिकपाक शैक्षणिक कर्जें जाय.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",1
ᱪᱟᱨ ᱞᱟᱠᱷ ᱴᱟᱠᱟ ᱯᱨᱚᱡᱮᱠᱴ ᱞᱟᱹᱜᱤᱫ ᱠᱚᱚᱯᱟᱨᱮᱴᱤᱵ ᱵᱮᱝᱠ ᱛᱮ ᱞᱳᱱ ᱥᱟᱹᱦᱟᱭᱟᱹ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
चार लाख टाकानि प्रोजेक्टनि थाखाय कोआपरेटिभ बैंक जों लोन नांगोन।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
مےٚ چھوٹ کاروبار خٲطرٕ NBFC-MFI ذٔریعہٕ مائیکروفنانس گژھان۔,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
இருபது லட்சம் ரூபாய் திட்டத்திற்கு டெர்ம் லோன் வேண்டும்.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
छोट्या व्यवसायासाठी NBFC-MFI मार्फत मायक्रोफायनान्स हवे आहे.,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
सोमोनाय बिसनेसनि थाखाय NBFC-MFI जों माइक्रोफाइनान्स नांगोन।,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
ଛୋଟ ବ୍ୟବସାୟ ପାଇଁ NBFC-MFI ମାଧ୍ୟମରେ ମାଇକ୍ରୋଫାଇନାନ୍ସ ଦରକାର।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
B.Tech शिक्षणासाठी शैक्षणिक कर्ज हवे आहे.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",1
مون کي ننڍي ڪاروبار لاءِ NBFC-MFI ذريعي مائڪروفنانس گهرجي.,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
مجھے چھوٹے کاروبار کے لیے NBFC-MFI کے ذریعے مائیکروفنانس چاہیے۔,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
बिस लाख टाकानि प्रोजेक्टनि थाखाय टर्म लोन नांगोन।,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
مون کي ويهه لک رپين جي منصوبي لاءِ ٽرم لون گهرجي.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
B.Tech ପଢ଼ିବା ପାଇଁ ଶିକ୍ଷା ଋଣ ଦରକାର।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
مون کي چار لک رپين جي منصوبي لاءِ ڪوآپريٽو بينڪ ذريعي قرض گهرجي.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
B.Tech पढ़ाई आस्तै शिक्षा कर्जा लोड़दा ऐ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",1
ਛੋਟੇ ਕਾਰੋਬਾਰ ਲਈ NBFC-MFI ਰਾਹੀਂ ਮਾਈਕ੍ਰੋਫਾਇਨੈਂਸ ਚਾਹੀਦਾ ਹੈ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
चार लाख रुपैयाँको परियोजनाका लागि सहकारी बैंकमार्फत ऋण चाहिन्छ।,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
ನಾಲ್ಕು ಲಕ್ಷ ರೂಪಾಯಿ ಯೋಜನೆಗೆ ಸಹಕಾರಿ ಬ್ಯಾಂಕ್ ಮೂಲಕ ಸಾಲ ಬೇಕು.,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
ഇരുപത് ലക്ഷം രൂപയുടെ പദ്ധതിക്ക് ടേം ലോൺ വേണം.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
مون کي ٽيلرنگ ڪاروبار شروع ڪرڻ لاءِ ننڍو قرض گهرجي.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
B.Tech ਦੀ ਪੜ੍ਹਾਈ ਲਈ ਸਿੱਖਿਆ ਕਰਜ਼ਾ ਚਾਹੀਦਾ ਹੈ।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
ꯑꯩꯅ ꯇꯦꯏꯂꯔꯤꯡ ꯕꯤꯖꯅꯦꯁ ꯍꯧꯗꯣꯛꯅꯕ ꯂꯣꯟ ꯃꯇꯦꯡ ꯅꯥꯡꯒꯦ।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
B.Tech পঢ়াৰ বাবে শিক্ষা ঋণ লাগে।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
B.Tech ꯈꯪꯅꯕ ꯑꯦꯗꯨꯀꯦꯁꯟ ꯂꯣꯟ ꯅꯥꯡꯒꯦ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",1
நான்கு லட்ச ரூபாய் திட்டத்திற்கு கூட்டுறவு வங்கி மூலம் கடன் வேண்டும்.,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
B.Tech చదువుకు విద్యా రుణం కావాలి.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
